Year,Production,Earliest Date
1997,851232906.00,1997-01-01 00:00:00
1998,5825320640.40,1998-01-01 00:00:00
1999,6434665985.10,1999-01-01 00:00:00
2000,7449709127.10,2000-01-01 00:00:00
2001,7465540840.27,2001-01-01 00:00:00
2002,7696955162.64,2002-01-01 00:00:00
2003,7917973504.73,2003-01-01 00:00:00
2004,8189461694.86,2004-01-01 00:00:00
2005,8043757329.74,2005-01-01 00:00:00
2006,8681913123.78,2006-01-01 00:00:00
2007,6879442338.58,2007-01-01 00:00:00
2008,7717018402.16,2008-01-01 00:00:00
2009,7660494024.81,2009-01-01 00:00:00
2010,6307608525.37,2010-01-01 00:00:00
2011,14308904087.13,2011-01-01 00:00:00
2012,8171054746.03,2012-01-01 00:00:00
2013,12903588632.88,2013-01-01 00:00:00
2014,8664540631.11,2014-01-01 00:00:00
2015,6935064.70,2015-01-01 00:00:00
