Season,State_Name,Crop,Production
Whole Year,Kerala,Coconut,97803036000.00
Whole Year,Andhra Pradesh,Coconut,16806002260.00
Whole Year,Tamil Nadu,Coconut,10937742655.00
Whole Year,Assam,Coconut,1954408105.00
Kharif,Uttar Pradesh,Sugarcane,1408297270.00
Whole Year,Tamil Nadu,Sugarcane,847496816.00
Whole Year,Uttar Pradesh,Sugarcane,794577620.00
Whole Year,West Bengal,Coconut,717841216.00
Whole Year,Andaman and Nicobar Islands,Coconut,717790000.00
Whole Year,Maharashtra,Sugarcane,641862599.00
Whole Year,Karnataka,Sugarcane,515845482.00
Whole Year,Goa,Coconut,503112559.00
Rabi,Uttar Pradesh,Wheat,469911750.00
Whole Year,Puducherry,Coconut,379139000.00
Kharif,Maharashtra,Sugarcane,296623366.00
Rabi,Punjab,Wheat,276946000.00
Kharif,Uttar Pradesh,Rice,218214182.00
Whole Year,Gujarat,Sugarcane,212022800.00
Whole Year,Andhra Pradesh,Sugarcane,181697887.00
Kharif,Punjab,Rice,179702000.00
Winter,West Bengal,Rice,169211041.00
Rabi,Haryana,Wheat,158647000.00
Kharif,West Bengal,Jute,147825671.00
Rabi,Madhya Pradesh,Wheat,138288478.00
Rabi,Uttar Pradesh,Potato,129602135.00
Whole Year,Haryana,Sugarcane,112680900.00
Whole Year,Bihar,Sugarcane,106227183.00
Whole Year,Telangana,Coconut,105663728.00
Rabi,Rajasthan,Wheat,94669124.00
Kharif,Tamil Nadu,Rice,93228936.00
Whole Year,Uttarakhand,Sugarcane,92793771.00
Whole Year,Punjab,Sugarcane,88780000.00
Kharif,Gujarat,Cotton(lint),82597300.00
Kharif,Chhattisgarh,Rice,81498618.00
Rabi,Bihar,Wheat,81020206.00
Winter,Odisha,Rice,80327092.00
Kharif,Andhra Pradesh,Rice,79974717.00
Kharif,Madhya Pradesh,Soyabean,78854933.00
Summer,West Bengal,Rice,77677113.00
Rabi,West Bengal,Potato,71383118.00
Whole Year,West Bengal,Potato,69031359.00
Winter,Bihar,Rice,67845457.00
Kharif,Maharashtra,Cotton(lint),67094749.00
Whole Year,Uttar Pradesh,Potato,62466266.00
Whole Year,Karnataka,Coconut,56767101.29
Whole Year,Tamil Nadu,Banana,55953763.00
Whole Year,Tamil Nadu,Tapioca,55648649.00
Rabi,Andhra Pradesh,Rice,55312154.00
Whole Year,Telangana,Sugarcane,53519868.00
Winter,Assam,Rice,51115739.00
Kharif,Haryana,Rice,49318300.00
Kharif,Karnataka,Rice,48756733.79
Whole Year,Kerala,Tapioca,46113659.30
Kharif,Andhra Pradesh,Sugarcane,45032418.00
Kharif,Rajasthan,Bajra,44172355.00
Kharif,Telangana,Rice,43376442.00
Kharif,Karnataka,Maize,43114931.00
Kharif,Maharashtra,Rice,42068792.00
Rabi,Rajasthan,Rapeseed &Mustard,38817485.00
Rabi,West Bengal,Oilseeds total,38657300.00
Kharif,Maharashtra,Soyabean,38101952.00
Rabi,Gujarat,Wheat,36783800.00
Rabi,Madhya Pradesh,Gram,35812134.00
Whole Year,Madhya Pradesh,Sugarcane,33870810.00
Kharif,Gujarat,Groundnut,33767300.00
Kharif,Telangana,Cotton(lint),31228434.00
Kharif,Uttar Pradesh,Total foodgrain,30587158.00
Kharif,Punjab,Cotton(lint),28325000.00
