State_Name,Crop,Production
Kerala,Coconut,97803036000.00
Andhra Pradesh,Coconut,16806002260.00
Tamil Nadu,Coconut,10937742655.00
Uttar Pradesh,Sugarcane,2202874890.00
Assam,Coconut,1954408105.00
Maharashtra,Sugarcane,938485965.00
Tamil Nadu,Sugarcane,847496816.00
West Bengal,Coconut,717841216.00
Andaman and Nicobar Islands,Coconut,717790000.00
Karnataka,Sugarcane,515845482.00
Goa,Coconut,503112559.00
Uttar Pradesh,Wheat,469911750.00
Puducherry,Coconut,379139000.00
Punjab,Wheat,276946000.00
West Bengal,Rice,258092849.00
Andhra Pradesh,Sugarcane,226730305.00
Uttar Pradesh,Rice,218793359.00
Gujarat,Sugarcane,212022800.00
Uttar Pradesh,Potato,192068401.00
Punjab,Rice,179702000.00
Haryana,Wheat,158647000.00
West Bengal,Potato,154976910.00
West Bengal,Jute,147825671.00
Madhya Pradesh,Wheat,147153856.00
Andhra Pradesh,Rice,143742455.00
Odisha,Rice,119422742.00
Haryana,Sugarcane,112680900.00
Bihar,Sugarcane,106227183.00
Telangana,Coconut,105672992.00
Tamil Nadu,Rice,100122666.00
Uttarakhand,Sugarcane,98902736.00
Rajasthan,Wheat,94669124.00
Bihar,Rice,92022922.00
Punjab,Sugarcane,88780000.00
Gujarat,Cotton(lint),85777500.00
Madhya Pradesh,Soyabean,85273955.00
Chhattisgarh,Rice,81498618.00
Bihar,Wheat,81020206.00
Assam,Rice,71801090.00
Maharashtra,Cotton(lint),71786349.00
Telangana,Rice,69195676.00
Karnataka,Rice,65837072.79
Telangana,Sugarcane,63164528.00
Tamil Nadu,Banana,58716087.00
Karnataka,Coconut,56767101.29
Tamil Nadu,Tapioca,55648649.00
Maharashtra,Jowar,55018576.00
Haryana,Rice,49318300.00
Karnataka,Maize,48308900.00
Kerala,Tapioca,46113659.30
Rajasthan,Bajra,44172355.00
Maharashtra,Rice,43008628.00
Maharashtra,Soyabean,39994352.00
Madhya Pradesh,Gram,39030407.00
Rajasthan,Rapeseed &Mustard,38817485.00
West Bengal,Oilseeds total,38657300.00
Gujarat,Wheat,36783800.00
Gujarat,Groundnut,36609300.00
Madhya Pradesh,Sugarcane,33870810.00
Bihar,Maize,32232829.00
Telangana,Cotton(lint),31228434.00
Uttar Pradesh,Total foodgrain,30587158.00
Telangana,Maize,30559315.00
Punjab,Cotton(lint),29262000.00
Madhya Pradesh,Rice,27622679.00
West Bengal,Sugarcane,27538321.00
Gujarat,Banana,25402100.00
Haryana,Cotton(lint),25258700.00
Uttar Pradesh,Bajra,24421607.00
Karnataka,Jowar,24191754.00
Karnataka,Ragi,23538643.00
Madhya Pradesh,Maize,22546783.00
Maharashtra,Wheat,22443475.00
Uttar Pradesh,Maize,22377151.00
Maharashtra,Maize,20853343.00
Bihar,Jute,20300657.00
Rajasthan,Maize,19133051.00
Assam,Paddy,19095877.00
Gujarat,Rice,19084200.00
Tamil Nadu,Groundnut,18933400.00
Assam,Sugarcane,18845994.00
Gujarat,Onion,18808000.00
Gujarat,Bajra,18724400.00
Andhra Pradesh,Maize,18527379.00
Andhra Pradesh,Groundnut,18385361.00
Odisha,Sugarcane,18114891.60
Andhra Pradesh,Cotton(lint),17882076.00
Gujarat,Potato,17283000.00
Karnataka,Arecanut,16740994.00
Maharashtra,Bajra,16029469.00
West Bengal,Wheat,15785272.00
Karnataka,Cotton(lint),15319987.00
Andhra Pradesh,Banana,15041631.00
West Bengal,Pulses total,14150679.00
Bihar,Potato,14035519.00
Haryana,Bajra,13502100.00
Karnataka,Onion,12985922.00
Maharashtra,Arhar/Tur,12870087.00
Rajasthan,Gram,12672230.00
Maharashtra,Gram,12630797.00
Gujarat,Castor seed,12423900.00
Assam,Jute,11789532.00
Assam,Banana,11724386.00
Uttarakhand,Wheat,11632116.00
Uttar Pradesh,Rapeseed &Mustard,11259735.00
Tamil Nadu,Maize,11201656.00
Assam,Potato,11021521.00
Karnataka,Banana,10986598.00
Uttar Pradesh,Gram,10956301.00
Karnataka,Groundnut,10955920.00
Madhya Pradesh,Rapeseed &Mustard,10903356.11
Haryana,Rapeseed &Mustard,10803800.00
Tripura,Rice,10685011.00
Rajasthan,Soyabean,10651942.00
Kerala,Rice,10593347.58
Madhya Pradesh,Onion,10511096.00
Madhya Pradesh,Potato,10386198.00
Gujarat,Maize,10130600.00
Madhya Pradesh,Cotton(lint),10109481.10
Madhya Pradesh,Jowar,10051589.00
Uttarakhand,Rice,9195479.00
