State_Name,Area,Production
Uttar Pradesh,433622332,3234492662.70
Madhya Pradesh,329791261,448840738.66
Maharashtra,322186037,1263640606.20
Rajasthan,268788234,281320270.50
West Bengal,215403000.87,1397904389.70
Karnataka,202908589,863429811.68
Gujarat,154926124,524291337.00
Andhra Pradesh,131507319,17324590296.00
Bihar,128269529,366483596.66
Punjab,126715186,586385001.00
Odisha,109863514,160904070.10
Tamil Nadu,95416949,12076443048.93
Haryana,89514473,381273890.00
Chhattisgarh,82931353,100951908.01
Telangana,81310646,335147930.00
Assam,70378752,2111751759.00
Kerala,31802252.08,97880045375.70
Uttarakhand,18792007,132177355.00
Himachal Pradesh,10003417,17805168.60
Jharkhand,9391046.23,10777741.75
Jammu and Kashmir,9264621,13291015.70
Nagaland,6053234,12765950.00
Tripura,4641609,12522917.00
Arunachal Pradesh,4364340,6823912.60
Meghalaya,4035028,12112496.00
Manipur,2007254,5230917.00
Sikkim,1524479,2435735.00
Goa,1205678.5,505755757.58
Mizoram,993640.17,1661539.83
Puducherry,548736,384724502.00
Dadra and Nagar Haveli,396515,1847871.00
Andaman and Nicobar Islands,337083.4,718223239.99
Chandigarh,12502,63956.50
