State_Name,All state %
Kerala,69.33%
Andhra Pradesh,12.27%
Tamil Nadu,8.55%
Uttar Pradesh,2.29%
Assam,1.50%
West Bengal,0.99%
Maharashtra,0.90%
Karnataka,0.61%
Andaman and Nicobar Islands,0.51%
Punjab,0.42%
Gujarat,0.37%
Goa,0.36%
Madhya Pradesh,0.32%
Puducherry,0.27%
Haryana,0.27%
Bihar,0.26%
Telangana,0.24%
Rajasthan,0.20%
Odisha,0.11%
Uttarakhand,0.09%
Chhattisgarh,0.07%
Himachal Pradesh,0.01%
Jammu and Kashmir,0.01%
Nagaland,0.01%
Tripura,0.01%
Meghalaya,0.01%
Jharkhand,0.01%
Arunachal Pradesh,0.00%
Manipur,0.00%
Sikkim,0.00%
Dadra and Nagar Haveli,0.00%
Mizoram,0.00%
Chandigarh,0.00%
