District_Name,State_Name,Production,Year
COIMBATORE,Tamil Nadu,1251489779.00,2011
COIMBATORE,Tamil Nadu,1212566168.00,2013
MALAPPURAM,Kerala,1125338002.00,2012
MALAPPURAM,Kerala,1063321255.00,2009
KOZHIKODE,Kerala,1059155072.00,1999
KOZHIKODE,Kerala,1001086024.00,2014
KOZHIKODE,Kerala,999137131.00,1998
MALAPPURAM,Kerala,952389502.00,2008
KOZHIKODE,Kerala,948119203.00,2013
MALAPPURAM,Kerala,947074171.97,2011
KOZHIKODE,Kerala,941084238.00,2008
MALAPPURAM,Kerala,935294224.00,2013
MALAPPURAM,Kerala,933297187.49,2014
MALAPPURAM,Kerala,916348195.60,2010
KOZHIKODE,Kerala,903135172.00,2000
MALAPPURAM,Kerala,900290457.00,2004
KOZHIKODE,Kerala,898173263.00,2003
KOZHIKODE,Kerala,895137731.00,2001
KOZHIKODE,Kerala,888170907.00,2002
KOZHIKODE,Kerala,882121777.00,2012
KOZHIKODE,Kerala,868082318.00,2009
MALAPPURAM,Kerala,863293469.00,2005
MALAPPURAM,Kerala,859319044.00,2006
MALAPPURAM,Kerala,858397375.00,2003
KOZHIKODE,Kerala,854112604.00,2004
KOZHIKODE,Kerala,852079592.65,2011
KOZHIKODE,Kerala,851086998.00,2007
KOZHIKODE,Kerala,845103261.00,2005
MALAPPURAM,Kerala,832387453.00,2007
THANJAVUR,Tamil Nadu,825898957.00,2011
KOZHIKODE,Kerala,824083463.00,2006
MALAPPURAM,Kerala,787402281.10,2002
EAST GODAVARI,Andhra Pradesh,785004645.00,2014
KOZHIKODE,Kerala,769759779.30,2010
EAST GODAVARI,Andhra Pradesh,732793600.00,2012
THRISSUR,Kerala,726141081.00,2005
WEST GODAVARI,Andhra Pradesh,725459006.00,2014
EAST GODAVARI,Andhra Pradesh,724301721.00,2013
EAST GODAVARI,Andhra Pradesh,722897505.00,2011
MALAPPURAM,Kerala,717357279.00,1999
THRISSUR,Kerala,709165274.00,2004
KASARAGOD,Kerala,705085045.00,2014
KANNUR,Kerala,692161801.60,2005
EAST GODAVARI,Andhra Pradesh,688703957.00,2002
EAST GODAVARI,Andhra Pradesh,686703093.00,2003
EAST GODAVARI,Andhra Pradesh,677377905.00,2004
THIRUVANANTHAPURAM,Kerala,665610163.00,2014
THIRUVANANTHAPURAM,Kerala,665497079.00,2005
TIRUPPUR,Tamil Nadu,648168714.00,2011
KANNUR,Kerala,644651221.64,2011
KANNUR,Kerala,642152720.00,2004
KANNUR,Kerala,640152573.00,2006
THIRUVANANTHAPURAM,Kerala,635501032.00,2000
EAST GODAVARI,Andhra Pradesh,632744996.00,2001
THRISSUR,Kerala,632172762.00,2003
THIRUVANANTHAPURAM,Kerala,627521729.00,2001
MALAPPURAM,Kerala,626298976.00,2000
KANNUR,Kerala,621176094.00,2000
THRISSUR,Kerala,620206043.00,2002
THRISSUR,Kerala,618184821.00,2013
EAST GODAVARI,Andhra Pradesh,616775243.00,2006
THRISSUR,Kerala,610168644.00,1999
THIRUVANANTHAPURAM,Kerala,608568439.00,1999
THRISSUR,Kerala,608142419.00,2006
THRISSUR,Kerala,608141169.27,2011
THIRUVANANTHAPURAM,Kerala,606501636.00,2002
KANNUR,Kerala,604193765.00,2001
THIRUVANANTHAPURAM,Kerala,603446945.00,2006
KASARAGOD,Kerala,602073947.00,2013
THIRUVANANTHAPURAM,Kerala,600554893.00,2008
MALAPPURAM,Kerala,600326297.00,1998
MALAPPURAM,Kerala,599320868.00,2001
KANNUR,Kerala,597231600.00,2003
EAST GODAVARI,Andhra Pradesh,591671291.00,2000
THIRUVANANTHAPURAM,Kerala,591451176.00,2009
DINDIGUL,Tamil Nadu,576361530.00,2011
THRISSUR,Kerala,575127534.00,2007
KANNUR,Kerala,574163725.00,2013
THIRUVANANTHAPURAM,Kerala,572848972.23,2011
