State_Name,Crop,Crop_Year,zero production
Andhra Pradesh,Bottle Gourd,2002,0
Andhra Pradesh,Bottle Gourd,2003,0
Andhra Pradesh,Cabbage,2002,0
Andhra Pradesh,Cabbage,2003,0
Andhra Pradesh,Cucumber,2002,0
Andhra Pradesh,Cucumber,2003,0
Andhra Pradesh,Linseed,2003,0
Andhra Pradesh,Other  Rabi pulses,2000,0
Andhra Pradesh,other fibres,2002,0
Andhra Pradesh,other misc. pulses,2000,0
Andhra Pradesh,Other Vegetables,2002,0
Andhra Pradesh,Other Vegetables,2003,0
Andhra Pradesh,Peas  (vegetable),2002,0
Andhra Pradesh,Soyabean,2002,0
Assam,Mesta,2003,0
Assam,Rice,2003,0
Bihar,Groundnut,2003,0
Bihar,Other Kharif pulses,2000,0
Bihar,Other Kharif pulses,2003,0
Chhattisgarh,Moong(Green Gram),2002,0
Chhattisgarh,Ragi,2000,0
Chhattisgarh,Ragi,2002,0
Chhattisgarh,Ragi,2003,0
Chhattisgarh,Ragi,2004,0
Gujarat,Moong(Green Gram),1999,0
Gujarat,Moth,1999,0
Gujarat,Other  Rabi pulses,1999,0
Gujarat,Other  Rabi pulses,2000,0
Gujarat,Other  Rabi pulses,2002,0
Gujarat,Other  Rabi pulses,2012,0
Gujarat,Other Kharif pulses,1999,0
Gujarat,Other Kharif pulses,2000,0
Gujarat,Small millets,2000,0
Gujarat,Small millets,2001,0
Gujarat,Small millets,2002,0
Haryana,Arhar/Tur,1999,0
Haryana,Arhar/Tur,2000,0
Haryana,Arhar/Tur,2001,0
Haryana,Arhar/Tur,2002,0
Haryana,Arhar/Tur,2003,0
Haryana,Bajra,1999,0
Haryana,Bajra,2000,0
Haryana,Bajra,2001,0
Haryana,Bajra,2002,0
Haryana,Bajra,2003,0
Haryana,Banana,2002,0
Haryana,Banana,2003,0
Haryana,Barley,1999,0
Haryana,Barley,2000,0
Haryana,Barley,2001,0
Haryana,Barley,2002,0
Haryana,Barley,2003,0
Haryana,Cotton(lint),1999,0
Haryana,Cotton(lint),2000,0
Haryana,Cotton(lint),2002,0
Haryana,Cotton(lint),2003,0
Haryana,Dry chillies,2000,0
Haryana,Dry chillies,2001,0
Haryana,Dry chillies,2003,0
Haryana,Garlic,2000,0
Haryana,Garlic,2001,0
